,"Cholesterol, Total",HDL Cholesterol,Triglycerides,LDL-Cholesterol,Chol/HDLC Ratio,Non HDL Cholesterol,Glucose,Urea Nitrogen (BUN),Creatinine,eGFR non-African American,eGFR African American,Sodium,Potassium,Chloride,Carbon Dioxide,Calcium,"Protein, Total",Albumin,Globulin,Albumin/Globulin Ratio,"Bilirubin, Total",Alkaline Phosphatase,AST,ALT,TSH,Sed Rate,White Blood Cell Count,Red Blood Cell Count,Hemoglobin,Hemocrit,MCV,MCH,MCHC,RDW,Platelet Count,MPV,Absolute Neutrophils,Absolute Lymphocytes,Absolute Monocytes,Absolute Eosinophils,Absolute Basophils,Neutrophils,Lymphocytes,Eosinophils,Monocytes,Basophils,Vitamin B12,C-Reactive Protein
score_0,0.006823779292943429,0.023838471645074015,0.020321938838289085,0.03255172304096704,0.10226496049053876,0.04839844265582778,0.007959504066819055,0.07069199398643282,0.021342741134452965,0.014165839681322602,0.013051767782335173,0.007981149870620447,0.040074273046016795,0.013644517797048814,0.011057690312194172,0.007006629216564055,0.007717651711637663,0.009304557905134153,0.009040968183168897,0.041935241953577396,0.04951907341454111,0.019408353228521066,0.004389558018351381,0.02320142660237264,0.015326784485226695,0.02376270932673209,0.021167894808632577,0.015977905065485087,0.007212667923702071,0.01140152933436098,0.006191578188535178,0.01004147414506281,0.009161458036721899,0.018520065748449055,0.02089769928405968,0.046090596695685944,0.011345350292321608,0.019221717639334425,0.007897477245408062,0.010281317431838041,0.03537050063451979,0.025728473014106558,0.005371177148154261,0.035380464904546376,0.008510014629785507,0.0026868158827534584,0.007929731576083865,0.018832342683742637
score_1,0.008577956036714768,0.02002850690404231,0.023483280331846216,0.029906893719247565,0.05150911417522009,0.03463381783238955,0.008634494058818712,0.04780538056593096,0.0180206554987362,0.01525046155018262,0.013516290221048183,0.007557630595859974,0.04451163281676931,0.006579128331758638,0.007941106693235505,0.008489039391345092,0.008071833499880887,0.009534870358746764,0.01454439395928624,0.044590244130599366,0.06277805604516086,0.023469950556953226,0.007027432296044343,0.04467592802608704,0.024056915793179822,0.020494112912308467,0.02944213423846647,0.024726151399261667,0.008166849368871066,0.011100140291901942,0.008031760097719422,0.02195441492805037,0.009404302875603373,0.025131987071312322,0.02697539627033822,0.036180478214987224,0.013136246453809619,0.016781741461272776,0.01576468873757405,0.010159096175350948,0.03359029837622102,0.009905706053402989,0.013899751780147193,0.028040330869069093,0.006000331597148134,0.003390599456818661,0.010652380662326584,0.031876087318954076
score_2,0.010138387279149738,0.017735554053002058,0.03920739676867021,0.006765028051243561,0.007301073463776743,0.009253840503017719,0.037867465663146055,0.03825128005231938,0.026834401308289228,0.017984907053401954,0.013976040004948042,0.009690143067295622,0.022532871202568448,0.016465168964601005,0.021862605916518608,0.011477669067050075,0.008783649982815079,0.006357252164891808,0.011875835219672424,0.042231396106995556,0.03099257705350866,0.028867429310807286,0.009980759519511074,0.032492881952724824,0.011709970159231657,0.03758466171395131,0.026470034439860783,0.021392173843560378,0.034282382428092346,0.0224995070316128,0.009867055799266965,0.01701815752144978,0.0160395033528755,0.015518981693379326,0.021319063794096097,0.04830419073761771,0.02874138642369394,0.021627540569831294,0.035584785244574084,0.023563496983079118,0.021207051985396238,0.017764866388489012,0.0190492939423191,0.013792760720944913,0.014855602035291869,0.00389582529007607,0.02004629733829411,0.01893979683309045
score_3,0.01562504532958253,0.010612028325525644,0.013031788736845051,0.007383376878164147,0.021915585340738092,0.014848493462672082,0.010136638697027479,0.022406193470685537,0.017005238136584343,0.011516338973558313,0.01278469294726795,0.012795975016196436,0.02069704731298976,0.023789316081657557,0.018348253994207905,0.01711481889998256,0.023793142549625716,0.0042985059124878286,0.03094979094976303,0.027866262201009646,0.02379866584299739,0.03669046831930513,0.008414390454276862,0.04532507828671871,0.022651921448875744,0.006472368523648583,0.0188577846198614,0.009193123936026375,0.007862837879567585,0.006744661063756395,0.02824089884823367,0.005703448534774396,0.014297321406714466,0.17400997452318387,0.010994243337298855,0.014092853031742947,0.009955749721995968,0.015942471756463336,0.01087818704048496,0.009506808971057249,0.018984638512673794,0.04155897286413817,0.009318603000639497,0.06118701205476305,0.012929913549386437,0.007517763677823004,0.02503146669030369,0.00691983888671693
score_4,0.031045239522871394,0.024705173647501154,0.03157919415609717,0.011454723402169678,0.0227920643865857,0.010687586929489632,0.024689329807782393,0.03556718010448235,0.009129942695195582,0.02061020007991117,0.01992261499612201,0.027691440410961544,0.0124420043911916,0.012624147157326841,0.015620734394987039,0.015593192805311436,0.013663174517705158,0.019572854606737515,0.026565347809632624,0.044626429204369704,0.04571905001064414,0.04558417863505253,0.01614779764727828,0.016392718449051314,0.017805643929479448,0.026081083183014345,0.010771453294112571,0.02404861564048585,0.011027614313444298,0.01375726511627867,0.015614147428927558,0.026027927957733364,0.04242069266611508,0.009826866814312694,0.017598408743257507,0.026843914256465387,0.015082365362461037,0.0158812863060657,0.024768250199277614,0.02464351223880706,0.016077892827213447,0.012824514504139727,0.012409022599979409,0.038515109538948246,0.011573756099461431,0.0061607213341990956,0.017428020558713557,0.00838559531864895
score_5,0.009691290237814296,0.020454063310727615,0.029284618434467034,0.027217475456648703,0.020787363532451267,0.04561499515246141,0.011897511775639276,0.04224266357090798,0.03142418962633031,0.024098022040467133,0.020321567846208494,0.011135653756947219,0.03652243919907564,0.008851928669365256,0.011004010633104161,0.010033329023395572,0.008998893103122562,0.004920418214557569,0.009820934551219584,0.037328041084499664,0.0629308470414508,0.03655109727966941,0.010801503121522959,0.040890294877964486,0.012127116181237971,0.026278558347867343,0.02600500456503686,0.0306712182421862,0.008402465728287777,0.013626822549950332,0.008765353542267183,0.014632367998753538,0.01176641125627108,0.021872666831676244,0.024355377451938196,0.027068658244498254,0.02052713009780547,0.024790240699521945,0.010228056676296162,0.011845535450578223,0.03973622023701555,0.011032906420111847,0.006767715594596342,0.031168081378868836,0.00706261171413494,0.0027422125938525253,0.01453578040837939,0.021168336248849298
score_6,0.006973658621619806,0.02313419003872176,0.037058622651040575,0.03199845113973108,0.06380159793129438,0.058716045986589784,0.019353275331675957,0.06513667653084772,0.03454725240033931,0.013711143365847335,0.014018258021130346,0.007820354213766437,0.013003268570960614,0.013982471697677102,0.01618121295754941,0.006531666580463176,0.01323292872576033,0.009195213330147731,0.011965115651579764,0.04916900910738738,0.06291326281822433,0.037997709451998846,0.013754629624645173,0.02348003094089216,0.0246602332046643,0.012822907098303818,0.01753275588220103,0.01292233017336384,0.005497447071008804,0.010853433587139976,0.008827074531427193,0.00825171350715538,0.010492144388914488,0.016429041205526147,0.03211907076413894,0.026378807531809944,0.010409775244030941,0.020650110108539715,0.0105662266440664,0.01077789972856963,0.02759858818996934,0.018520335320808833,0.005347289909236612,0.027585679298151408,0.0068438274109906905,0.006026433740531888,0.006595514629335081,0.014615315140225134
score_7,0.007795841668261081,0.013501160602355148,0.020014079869139004,0.030860371463558835,0.06493896398407738,0.07671075437260944,0.012392551384790847,0.04936235272155432,0.012202925215315743,0.007197862023520615,0.0069082791123612555,0.013067733805025003,0.03345005893693147,0.009618147430079396,0.010544657857533361,0.0069506135743158904,0.010642153056379434,0.009246636352843908,0.013058078327948449,0.04672363754457564,0.05175828011620891,0.03275599161644225,0.009681730948255337,0.08938943329495344,0.013943716447816504,0.03041585557475579,0.012788092910198856,0.016134916074560173,0.007846148204113099,0.009273984712858384,0.00719604530342601,0.014787913491282773,0.010858956148228,0.013459662821365648,0.019252349713158888,0.018093167216873984,0.01647254416327459,0.012794166161849353,0.008798907908749747,0.01722151600723635,0.03455787255881071,0.013397635110333211,0.005625156030224288,0.029274447500801246,0.009326690109748683,0.005247171512202745,0.006986906274677808,0.027473882764416965
score_8,0.006451825860421198,0.005859577863912223,0.023956504499751466,0.03757325044391005,0.10025461276144546,0.04346796220535436,0.01008311385955754,0.06669214795592339,0.04602526269149323,0.03205703131958643,0.034936189787843804,0.009489485565769819,0.006006356840588222,0.005770394656290434,0.013304498473579833,0.014377223814631522,0.005302507593903361,0.023879145748505515,0.024866063632488174,0.01603545002633883,0.044928802410205866,0.007708399625954654,0.0066525710953501925,0.017469970199682945,0.016855678891733193,0.017474782292184167,0.009656045909793166,0.00876882085601451,0.005528455021627425,0.007265493474335748,0.020061148221051407,0.01695373825350541,0.012485532761126772,0.03669731196647942,0.027526659169482055,0.03004175100840147,0.007311376008964738,0.04081460828331759,0.0072112410871765075,0.007433520703177865,0.014905988924265777,0.027851348699607956,0.008292799669713469,0.010762003917733416,0.009798280427051454,0.013348705678709057,0.01261115729716685,0.027195202544891987
score_9,0.026709604134751753,0.013100630598851517,0.019329001763803387,0.033188859662385294,0.03765351873051244,0.03719448223049127,0.02656429526225085,0.04288657728112356,0.022092564940172248,0.016846203156487178,0.015169529107566262,0.030711111677082733,0.03842273700961239,0.004499004912349801,0.03954888651103183,0.021125904836030756,0.008071806122554282,0.006547398930996802,0.0056932954294209885,0.02609361842486656,0.023663971044508358,0.012393063902487624,0.013452291921758758,0.065634943086839,0.009418404762262298,0.028061599409003726,0.02633290485026965,0.009105921571117268,0.019166579257069313,0.014239829298832754,0.010332115109010002,0.016312865491234816,0.010807809438394503,0.009069834517445105,0.06844160116719337,0.025903574620877702,0.013539136438393013,0.02072128793995246,0.009553549914609695,0.0070709613706617,0.006275400421916224,0.027409062683602912,0.019060622748144906,0.012897038883504684,0.016783779284089067,0.016606532678995777,0.009919941955284884,0.006376345510198501
score_10,0.024604613812705907,0.027784421511218984,0.0228656326133353,0.04178296921484027,0.024637856311847263,0.0678049683143896,0.012653119936858415,0.028336822840568474,0.02160280191343762,0.013943893537125588,0.013118896543125527,0.010736241131888868,0.036507065838531076,0.02274736829730139,0.009894229103823506,0.0067213727570429056,0.009296986126272059,0.008546063818167027,0.01077418089642424,0.049703932287516746,0.07872626758327199,0.031430258498073675,0.006728033059053377,0.014428243818286283,0.014987201336550881,0.028637832026683033,0.009478202544770853,0.009364544637810918,0.006719611949648152,0.009692573390604677,0.012513439236901885,0.01667717945521992,0.01952867081138276,0.009050391510972172,0.052758509368295334,0.022687754973560924,0.018907723037189624,0.008730672567865206,0.012599096262794932,0.011772478586687967,0.037579660346832196,0.029241364090145362,0.006795199048654065,0.022497632884827878,0.007473310055561189,0.008119749467344325,0.010290641201513802,0.018520321443075964
