,"Cholesterol, Total",HDL Cholesterol,Triglycerides,LDL-Cholesterol,Chol/HDLC Ratio,Non HDL Cholesterol,Glucose,Urea Nitrogen (BUN),Creatinine,eGFR non-African American,eGFR African American,Sodium,Potassium,Chloride,Carbon Dioxide,Calcium,"Protein, Total",Albumin,Globulin,Albumin/Globulin Ratio,"Bilirubin, Total",Alkaline Phosphatase,AST,ALT,TSH,Sed Rate,White Blood Cell Count,Red Blood Cell Count,Hemoglobin,Hemocrit,MCV,MCH,MCHC,RDW,Platelet Count,MPV,Absolute Neutrophils,Absolute Lymphocytes,Absolute Monocytes,Absolute Eosinophils,Absolute Basophils,Neutrophils,Lymphocytes,Eosinophils,Monocytes,Basophils,Vitamin B12,C-Reactive Protein
score_0,0.0027531971020037837,0.008708794694611168,0.009740750629174587,0.011587784711398035,0.035210829176034755,0.01761305237688599,0.003689989935413555,0.02505201265118898,0.0096192953683629,0.00605998911984444,0.005482591569393224,0.0038182702360280256,0.016882019405477407,0.006688128930795674,0.004438362185871605,0.0027719894654294245,0.0029619622384366977,0.003505176970731447,0.0034648466652719995,0.0176400804502355,0.02287759070112406,0.007390779854641723,0.001863516691950429,0.008329212661423264,0.006714548899707057,0.009435380573526558,0.007673432442373071,0.0066842506075845565,0.002872553882735247,0.004362076304157381,0.0023723990895201264,0.004633418021290613,0.003516944951865903,0.0065713790866246125,0.007788579803277184,0.015833979206055226,0.004161012695341256,0.0070871597936078634,0.0033332597159730776,0.0040983610455432576,0.01265630782328093,0.010264598381967971,0.0021185134793658433,0.014011903647851107,0.003568363366802157,0.0010817049981902468,0.0032496442851045635,0.007583449071648003
score_1,0.015783109680416622,0.03523112485955601,0.05021314927030387,0.05237458727142823,0.09971451208825619,0.06135460220163901,0.016975062309964623,0.0808553474636646,0.037421648284157574,0.02704964378745373,0.023992649753579343,0.016924307564222158,0.08500734707867917,0.013513945431939662,0.015001295051644502,0.01654716939343548,0.015131468003114868,0.016530523956318703,0.02520180861340681,0.0858444624063148,0.11638360522937198,0.0411715100170432,0.014643097903970649,0.07719327291316354,0.050728222018022275,0.03939225075973513,0.04882434720707453,0.04903348620883621,0.014670066946082796,0.020409761542158542,0.014756380346783601,0.04556731592016931,0.017823269955316908,0.04192801645997668,0.04852808641506399,0.05843965842877472,0.022384603827740893,0.03444892180130224,0.033538157375603644,0.018637949068644993,0.05750290980114231,0.02002384791088823,0.025404679855273705,0.05251002156030967,0.01099437630031596,0.006539736392723972,0.019309884849759935,0.06237163342036028
score_2,0.004631180868512278,0.008105598067033391,0.016980314053134164,0.003139600434590362,0.0033629460060522077,0.004272281287931184,0.015052781523263954,0.01670105565698992,0.011340986951007265,0.00782616628746955,0.005991201546820526,0.004570824575483638,0.009415954916426142,0.007317167407367854,0.009992892397121825,0.005722371231351707,0.004178803145665861,0.00319640022776134,0.006567187405802043,0.01712261524706349,0.015654848564957708,0.011932297776950668,0.004383737492467459,0.013473333835294704,0.005102632518800269,0.01808893076275697,0.010778730522067355,0.009065504927136725,0.015246896300381764,0.010012641248785424,0.004338326159671131,0.0077679749526862575,0.007468473163938872,0.006521990534593014,0.009622970862193637,0.019894556794697753,0.011427290717686642,0.009182353987344865,0.016435630371939278,0.0102117225193692,0.009047907545827237,0.008421860974123202,0.008328313628071135,0.005949808102718701,0.0078323084642538,0.0017391946989619093,0.008158925169045001,0.008539756310222845
score_3,0.0039698842958160886,0.002101788308483211,0.0024737655484104327,0.0018594874810842017,0.005223833128623391,0.0025786673599794306,0.0022712609765177384,0.004164493630889339,0.003463782026515536,0.0024064470419248125,0.0026793291702460038,0.002657191700913802,0.003912947231026366,0.003936597252238027,0.004048960197735742,0.003459878723358631,0.00499224064046462,0.0010430306366678362,0.005963313324334541,0.005693336557365961,0.0045633106167847345,0.006448337176731716,0.0024665927729415884,0.008020492750001752,0.004644444401265781,0.0013276567781739447,0.003243223861650128,0.0017627048097519432,0.0017377436590738737,0.0014463147497987005,0.004705481594055188,0.0011699460288217146,0.002736752691017921,0.027396693128133035,0.00213670958319981,0.002747956865673425,0.0018648676259164524,0.0034896035417476545,0.002071639058618777,0.00198703119387513,0.0035897844899573164,0.0072233372723142,0.001866760263602202,0.011309503215637135,0.0024612971176535222,0.0015231952160529574,0.004481919784132267,0.0014032366151965816
score_4,0.0026998777091766014,0.0021825887263982953,0.0025109476231967454,0.0008827786416925574,0.0017654593529443945,0.0008612226669419942,0.001888618458697707,0.0028317596902810113,0.0008104316424241895,0.002020355243487414,0.0019764638224952034,0.0023415114934025928,0.0009545668366294784,0.0010494514231231353,0.0015184251769855936,0.0013275675917174547,0.001120508678090492,0.0023625801115284882,0.0021366244112684925,0.0034678723939213976,0.004954708216246295,0.003491074243453814,0.0014930001826056053,0.0016605939493090699,0.0013762478814927429,0.002311930523482149,0.0008399560990237242,0.002151943181411809,0.0009516622942759921,0.0011954297019264519,0.001216628282898516,0.002364610280451439,0.0033345667741808064,0.0008798227265545351,0.0014281036855130782,0.0022814886691647396,0.0011518156556201218,0.0013412268730611015,0.0018185375079772333,0.002157210275048892,0.0012334538756452827,0.0010783086056301463,0.0009737221820680253,0.002698643275426509,0.001245795295596629,0.0005621814812123637,0.0014128478603618007,0.0007097702748173774
score_5,0.0033068266965736765,0.006217538220323638,0.010231275525947351,0.008135369517581913,0.006874682767575006,0.013239373915497286,0.004123644461639703,0.01351323618765961,0.011797817850588638,0.007722999285839608,0.006567242675616165,0.005132911628466349,0.011319665263442559,0.0029655808340602213,0.003253354500173704,0.0034214971546689494,0.003138779630650183,0.0016343974852199598,0.0029239349640866725,0.011993438693680731,0.022351109489182695,0.010809480949849378,0.0037049361590003466,0.01218376840712377,0.00432655236065426,0.008462902693852708,0.00735587099574107,0.00998562223027412,0.002530090800155875,0.004110923102569928,0.0027318672747160535,0.0055330906267928165,0.0039566952708180066,0.006356157349154136,0.007481187007694594,0.007511756555538793,0.006075615678683691,0.007022325000413922,0.003281350902807719,0.0035966908320448653,0.011370578106897332,0.0037809376718041083,0.00222197797363268,0.009852230779178755,0.0024866525205354062,0.0009436879923233103,0.00447398470133438,0.00686512963728606
score_6,0.0018597858881994264,0.005650577268605475,0.011043283699364016,0.007640234933949315,0.015294714184103327,0.014901433174443517,0.004664928814902574,0.015260033917923103,0.010684796905954757,0.004623462482523735,0.0048288740354953995,0.002162093010880483,0.003684352972554665,0.003970582406359712,0.004173102932056148,0.0018165690587904747,0.0035497596069947175,0.0024986880093834716,0.0032316164287359084,0.0137163887301764,0.01804846016542889,0.009383923733937026,0.0037915926992422434,0.0061470346805377555,0.006934708472322331,0.0034709876653857908,0.004565846801702065,0.003779915144840673,0.001513061614711348,0.00290014747311536,0.0024502966714156126,0.0023077864658052516,0.002878553603524364,0.004041764971131811,0.0079451088104882,0.0063568221574118585,0.002683362219758601,0.006632367724764526,0.0032037327043815057,0.0027497569514519067,0.006903132365836858,0.0048753619440708084,0.0014091536971501187,0.0071283247360380275,0.0020170206600182597,0.0017167258101495402,0.0017776469925955744,0.0040645547377351305
score_7,0.0021884597392973926,0.004092988315341523,0.007190217193563269,0.007990879856592484,0.016023853771915845,0.018569255086015462,0.003710033846156605,0.012389917731292128,0.0037611751836937194,0.002300277015285815,0.002218162113469599,0.004986451310677969,0.00953211132176596,0.0027593407551903142,0.0030623848624796828,0.0020260412259567573,0.0029934144993043273,0.0026110559398231643,0.0037304250644689518,0.012888815899008746,0.01576391618050467,0.008414999356813488,0.0029476564119076233,0.02231906558092745,0.004012273670400579,0.00895136774381737,0.0032858421076001534,0.005000347936065586,0.002173460077262316,0.0025993996583727886,0.0020176416988556115,0.004940649201108017,0.0032575922773152148,0.0036449629476733554,0.0054119054576050275,0.004608889328704661,0.0044967958715186745,0.004022078808790395,0.002838631596553906,0.004460236917343928,0.008856705614166804,0.003941651842518433,0.0016209856238421996,0.008385648357221467,0.0024898350173116544,0.0015051631051851144,0.002024995857858309,0.00800987973886946
score_8,0.0010578878036740327,0.0008832169019469443,0.004153806063935725,0.006695632262499776,0.014848249450240904,0.006222777668561898,0.0017327926954388451,0.008652735517922885,0.007081562463038658,0.004199911296796457,0.00446942255972175,0.0016901233801347943,0.0008881953920271019,0.0009810805485166954,0.0024063534052861948,0.001964242975827963,0.0007951013369105166,0.0037123257596911765,0.0033612168070562176,0.0026206871523464397,0.006129522714057049,0.001223817438265185,0.0009768638861647732,0.002436055902325216,0.003854629160878142,0.002431172386061777,0.0013834061381594932,0.001390033038306045,0.0009603166887483563,0.0012677047205651333,0.002849400831111719,0.002345587892553077,0.002097980069239646,0.004546646962207204,0.0035754198764275714,0.003783699415776096,0.0010969804617227295,0.0051257672271244215,0.0012268026122281654,0.0011157379404341356,0.00251999990449088,0.004450961856961202,0.0011837838140891066,0.0015168060243814356,0.0015605173988387675,0.0022344095779318817,0.0018133626104967645,0.003628090263424811
score_9,0.0023731751588547353,0.0013165445595283698,0.001788677089984588,0.003636824525192249,0.0036252483055946513,0.004027045633099839,0.002299980553191563,0.003671111959783551,0.002451392942224754,0.00187649099862292,0.0016272901321791613,0.0027217966043658775,0.003368112658933876,0.0004553122366780364,0.006630159384413652,0.002027128030238781,0.0008407155230291016,0.0006667447253679319,0.0006778706181904668,0.00234046731653791,0.002490103449432157,0.001196403372668634,0.0013961942055475112,0.006679360182725581,0.0013165727391896516,0.002501283278711097,0.0028317818413074883,0.0009377990562783675,0.00178918591411285,0.0015635856798988307,0.0011730450929995876,0.0015593101062817546,0.001029140507106934,0.0013704397474418593,0.005856924248856929,0.002429642631553938,0.0015438887968464848,0.0020349006946286303,0.0010608612335694927,0.0008239892995679917,0.0007217362399167795,0.003178736655471035,0.0018228977064152392,0.001492852885976227,0.0016341177515580426,0.0016353402191654535,0.0009900833751551842,0.0007034291117870387
